,Closed Date,Created Date,Agency,Borough,processing_time,start_time_window
130,2016-01-01 00:50:57,2016-01-01 00:38:28,NYPD,MANHATTAN,0 days 00:12:29.000000000,0
131,2016-01-01 03:43:42,2016-01-01 00:38:31,NYPD,BROOKLYN,0 days 03:05:11.000000000,0
132,2016-01-01 01:26:59,2016-01-01 00:38:46,NYPD,QUEENS,0 days 00:48:13.000000000,0
133,2016-01-01 01:51:44,2016-01-01 00:39:00,NYPD,MANHATTAN,0 days 01:12:44.000000000,0
134,2016-01-01 08:27:32,2016-01-01 00:39:05,NYPD,QUEENS,0 days 07:48:27.000000000,0
135,2016-01-01 07:26:06,2016-01-01 00:39:08,NYPD,BRONX,0 days 06:46:58.000000000,0
136,2016-01-01 03:30:52,2016-01-01 00:39:14,NYPD,BROOKLYN,0 days 02:51:38.000000000,0
137,2016-01-01 01:25:48,2016-01-01 00:39:38,NYPD,MANHATTAN,0 days 00:46:10.000000000,0
138,2016-01-01 00:39:45,2016-01-01 00:39:45,DOB,QUEENS,0 days 00:00:00.000000000,0
139,2016-01-01 02:45:26,2016-01-01 00:39:51,NYPD,MANHATTAN,0 days 02:05:35.000000000,0
140,2016-01-01 03:43:40,2016-01-01 00:39:57,NYPD,BROOKLYN,0 days 03:03:43.000000000,0
141,2016-01-04 00:00:00,2016-01-01 00:40:37,DOB,MANHATTAN,2 days 23:19:23.000000000,0
142,2016-01-01 05:31:22,2016-01-01 00:40:50,NYPD,BRONX,0 days 04:50:32.000000000,0
143,2016-01-01 07:43:21,2016-01-01 00:41:08,NYPD,BRONX,0 days 07:02:13.000000000,0
144,2016-01-01 03:14:08,2016-01-01 00:41:20,NYPD,QUEENS,0 days 02:32:48.000000000,0
145,2016-01-01 03:12:48,2016-01-01 00:41:22,NYPD,BROOKLYN,0 days 02:31:26.000000000,0
146,2016-01-01 07:09:56,2016-01-01 00:41:27,NYPD,QUEENS,0 days 06:28:29.000000000,0
147,2016-01-01 03:54:41,2016-01-01 00:41:36,NYPD,BROOKLYN,0 days 03:13:05.000000000,0
148,2016-01-01 01:40:21,2016-01-01 00:41:45,NYPD,BROOKLYN,0 days 00:58:36.000000000,0
149,2016-01-01 03:02:34,2016-01-01 00:41:45,NYPD,BROOKLYN,0 days 02:20:49.000000000,0
150,2016-01-01 04:20:58,2016-01-01 00:42:17,NYPD,BROOKLYN,0 days 03:38:41.000000000,0
